Candle Compra: 2506, Candle Venda: 2510, Horário Compra: 2024-01-02 17:46:00, Horário Venda: 2024-01-02 17:50:00, Preço Compra: 222275, Preço Venda: 221905, Percentual: -0.17%
Candle Compra: 2525, Candle Venda: 2527, Horário Compra: 2024-01-02 18:05:00, Horário Venda: 2024-01-02 18:07:00, Preço Compra: 221615, Preço Venda: 221157, Percentual: -0.21%
Candle Compra: 2532, Candle Venda: 2603, Horário Compra: 2024-01-02 18:12:00, Horário Venda: 2024-01-02 19:23:00, Preço Compra: 221458, Preço Venda: 222776, Percentual: 0.60%
Candle Compra: 2627, Candle Venda: 2640, Horário Compra: 2024-01-02 19:47:00, Horário Venda: 2024-01-02 20:00:00, Preço Compra: 222736, Preço Venda: 222350, Percentual: -0.17%
Candle Compra: 2652, Candle Venda: 2668, Horário Compra: 2024-01-02 20:12:00, Horário Venda: 2024-01-02 20:28:00, Preço Compra: 222329, Preço Venda: 222158, Percentual: -0.08%
Candle Compra: 2691, Candle Venda: 2722, Horário Compra: 2024-01-02 20:51:00, Horário Venda: 2024-01-02 21:22:00, Preço Compra: 221887, Preço Venda: 221982, Percentual: 0.04%
Candle Compra: 2732, Candle Venda: 2754, Horário Compra: 2024-01-02 21:32:00, Horário Venda: 2024-01-02 21:54:00, Preço Compra: 222371, Preço Venda: 222347, Percentual: -0.01%
Candle Compra: 2764, Candle Venda: 2791, Horário Compra: 2024-01-02 22:04:00, Horário Venda: 2024-01-02 22:31:00, Preço Compra: 223000, Preço Venda: 222786, Percentual: -0.1%
Candle Compra: 2796, Candle Venda: 2834, Horário Compra: 2024-01-02 22:36:00, Horário Venda: 2024-01-02 23:14:00, Preço Compra: 223231, Preço Venda: 223576, Percentual: 0.15%
Candle Compra: 2846, Candle Venda: 2871, Horário Compra: 2024-01-02 23:26:00, Horário Venda: 2024-01-02 23:51:00, Preço Compra: 223886, Preço Venda: 223650, Percentual: -0.11%
Candle Compra: 2878, Candle Venda: 2889, Horário Compra: 2024-01-02 23:58:00, Horário Venda: 2024-01-03 00:09:00, Preço Compra: 223818, Preço Venda: 223579, Percentual: -0.11%
Candle Compra: 2895, Candle Venda: 2902, Horário Compra: 2024-01-03 00:15:00, Horário Venda: 2024-01-03 00:22:00, Preço Compra: 223892, Preço Venda: 223662, Percentual: -0.1%
Candle Compra: 2923, Candle Venda: 2949, Horário Compra: 2024-01-03 00:43:00, Horário Venda: 2024-01-03 01:09:00, Preço Compra: 223538, Preço Venda: 223465, Percentual: -0.03%
Candle Compra: 2954, Candle Venda: 2970, Horário Compra: 2024-01-03 01:14:00, Horário Venda: 2024-01-03 01:30:00, Preço Compra: 223689, Preço Venda: 223648, Percentual: -0.02%
Candle Compra: 2985, Candle Venda: 3001, Horário Compra: 2024-01-03 01:45:00, Horário Venda: 2024-01-03 02:01:00, Preço Compra: 223530, Preço Venda: 223282, Percentual: -0.11%
Candle Compra: 3004, Candle Venda: 3043, Horário Compra: 2024-01-03 02:04:00, Horário Venda: 2024-01-03 02:43:00, Preço Compra: 223509, Preço Venda: 223671, Percentual: 0.07%
Candle Compra: 3066, Candle Venda: 3070, Horário Compra: 2024-01-03 03:06:00, Horário Venda: 2024-01-03 03:10:00, Preço Compra: 223427, Preço Venda: 223306, Percentual: -0.05%
Candle Compra: 3073, Candle Venda: 3090, Horário Compra: 2024-01-03 03:13:00, Horário Venda: 2024-01-03 03:30:00, Preço Compra: 223412, Preço Venda: 223559, Percentual: 0.07%
Candle Compra: 3105, Candle Venda: 3112, Horário Compra: 2024-01-03 03:45:00, Horário Venda: 2024-01-03 03:52:00, Preço Compra: 223613, Preço Venda: 223497, Percentual: -0.05%
Candle Compra: 3115, Candle Venda: 3121, Horário Compra: 2024-01-03 03:55:00, Horário Venda: 2024-01-03 04:01:00, Preço Compra: 223789, Preço Venda: 223492, Percentual: -0.13%
Candle Compra: 3128, Candle Venda: 3155, Horário Compra: 2024-01-03 04:08:00, Horário Venda: 2024-01-03 04:35:00, Preço Compra: 223754, Preço Venda: 223687, Percentual: -0.03%
Candle Compra: 3178, Candle Venda: 3220, Horário Compra: 2024-01-03 04:58:00, Horário Venda: 2024-01-03 05:40:00, Preço Compra: 222305, Preço Venda: 222443, Percentual: 0.06%
Candle Compra: 3231, Candle Venda: 3300, Horário Compra: 2024-01-03 05:51:00, Horário Venda: 2024-01-03 07:00:00, Preço Compra: 222560, Preço Venda: 223792, Percentual: 0.55%
Candle Compra: 3310, Candle Venda: 3318, Horário Compra: 2024-01-03 07:10:00, Horário Venda: 2024-01-03 07:18:00, Preço Compra: 224009, Preço Venda: 223831, Percentual: -0.08%
Candle Compra: 3333, Candle Venda: 3337, Horário Compra: 2024-01-03 07:33:00, Horário Venda: 2024-01-03 07:37:00, Preço Compra: 223664, Preço Venda: 223377, Percentual: -0.13%
Candle Compra: 3350, Candle Venda: 3368, Horário Compra: 2024-01-03 07:50:00, Horário Venda: 2024-01-03 08:08:00, Preço Compra: 222920, Preço Venda: 222471, Percentual: -0.2%
Candle Compra: 3395, Candle Venda: 3411, Horário Compra: 2024-01-03 08:35:00, Horário Venda: 2024-01-03 08:51:00, Preço Compra: 220379, Preço Venda: 218892, Percentual: -0.67%
Candle Compra: 3435, Candle Venda: 3502, Horário Compra: 2024-01-03 09:15:00, Horário Venda: 2024-01-03 10:22:00, Preço Compra: 210897, Preço Venda: 210868, Percentual: -0.01%
Candle Compra: 3518, Candle Venda: 3523, Horário Compra: 2024-01-03 10:38:00, Horário Venda: 2024-01-03 10:43:00, Preço Compra: 211333, Preço Venda: 210789, Percentual: -0.26%
Candle Compra: 3533, Candle Venda: 3548, Horário Compra: 2024-01-03 10:53:00, Horário Venda: 2024-01-03 11:08:00, Preço Compra: 210830, Preço Venda: 210300, Percentual: -0.25%
